ds,yhat,yhat_lower,yhat_upper
2025-01-16,4210100.971691728,3633611.130304562,4760107.284366814
2025-01-17,4170288.9830463007,3618478.014577036,4741652.448787868
2025-01-18,4713213.722565014,4126486.898386005,5321891.239755265
2025-01-19,4941501.60298096,4361557.297754986,5472528.498711126
2025-01-20,4236990.367583859,3665708.258811682,4821380.857420045
2025-01-21,4210194.455572316,3632112.188436121,4777200.236123756
2025-01-22,4359238.673428348,3768966.267329358,4925624.512254044
2025-01-23,4310938.088987623,3726769.825316279,4869931.662466751
2025-01-24,4300450.219734805,3710028.113525262,4817787.812404508
2025-01-25,4872620.784269642,4308667.034515612,5431199.622280657
2025-01-26,5129431.9574812595,4552447.90056114,5702510.857210019
2025-01-27,4452062.388656897,3872841.432062921,5045655.9755210215
2025-01-28,4450368.881307245,3855766.426164986,5039651.361888936
2025-01-29,4621836.833896296,4079716.943681568,5179671.266799133
2025-01-30,4592676.915953405,4060446.8799852664,5160214.298754918
2025-01-31,4597493.601560371,4014726.455988973,5216073.245529597
2025-02-01,5180646.383575956,4584336.127808071,5718410.064028661
2025-02-02,5443712.180054236,4843246.44558136,5986605.343238768
2025-02-03,4767557.790459256,4193144.9107147725,5302504.486285234
2025-02-04,4761831.940411567,4205862.205985553,5367620.115023475
2025-02-05,4923923.701197466,4373887.618796015,5538445.176524703
2025-02-06,4880064.506450084,4325154.818448602,5441491.70867445
2025-02-07,4864999.201382896,4264394.190884173,5424813.440196926
2025-02-08,5423346.833641794,4915264.200853791,5991419.919705011
2025-02-09,5657059.658668923,5084430.029589528,6200377.049214778
2025-02-10,4947489.25646947,4398895.207237164,5524342.894482462
2025-02-11,4904869.415148093,4353193.31807443,5453941.541955988
2025-02-12,5027262.759193166,4475103.177450808,5573263.447668527
2025-02-13,4941648.607295866,4357072.170310333,5484209.519167724
2025-02-14,4883577.821837637,4345754.263113025,5501921.550378513
2025-02-15,5398515.741991448,4849304.210953936,5960902.027377451
2025-02-16,5589282.10282086,5012605.490257242,6204590.750465886
2025-02-17,4838097.303088875,4243467.074644941,5422823.559961253
2025-02-18,4756045.164709924,4169822.006601708,5298591.676660542
2025-02-19,4841999.663081369,4249327.543931025,5392070.00741769
2025-02-20,4723693.610477911,4151865.405288458,5292224.959996297
2025-02-21,4637355.537835443,4111906.2742589684,5196070.900412906
2025-02-22,5129036.322430779,4560517.322417973,5683197.085213376
2025-02-23,5302034.880000459,4719957.011295047,5856069.748909871
2025-02-24,4538932.648894119,3972033.6977274287,5119731.289607099
2025-02-25,4451047.315976057,3841283.1668656673,5008271.556168835
2025-02-26,4537353.4994160915,3993750.0534253395,5100053.661786905
2025-02-27,4425548.533574562,3874111.5332381134,4998953.564710366
2025-02-28,4351689.686921599,3800763.586553882,4911996.08020226
2025-03-01,4861524.359360771,4285159.732044058,5439464.479233438
2025-03-02,5057922.502593802,4486388.433050309,5659345.501394141
2025-03-03,4322920.831140367,3787244.546798803,4877945.033023345
2025-03-04,4267189.040523309,3698781.068566682,4847744.988038979
2025-03-05,4388965.444898781,3830719.194891321,4917460.323388694
2025-03-06,4315139.815010896,3747971.5877602585,4880584.3541494
2025-03-07,4280909.328726751,3749017.088241999,4846101.071680143
2025-03-08,4831128.725837641,4194123.297875976,5377911.22602222
2025-03-09,5067763.418716199,4501011.0316861,5627200.000407399
2025-03-10,4371954.623717757,3838527.1292054527,4968942.157612926
2025-03-11,4353506.214937958,3822568.46191811,4952871.860549483
2025-03-12,4509840.220390823,3955249.7441222006,5022623.03193282
2025-03-13,4467098.252293761,3899745.6966022295,5050402.118289138
2025-03-14,4459814.341582838,3910668.602121871,5051587.956659997
2025-03-15,5032279.865313177,4456155.339789546,5594925.735211285
2025-03-16,5286008.970921678,4746397.7545447545,5817882.442580895
2025-03-17,4601813.276676963,4059626.6268577497,5171952.848546253
2025-03-18,4589295.339787039,4040922.480150401,5180992.980511215
2025-03-19,4745807.663038579,4159038.5560775865,5350172.693634516
2025-03-20,4697554.478589162,4128744.27435743,5290361.046438865
2025-03-21,4679261.791458633,4122639.486280546,5241379.755802428
2025-03-22,5235536.465863876,4666330.124327235,5842506.65584605
2025-03-23,5468322.928224051,4913129.014313716,6001528.195682102
2025-03-24,4758966.504601891,4184185.5257967324,5305752.826579869
2025-03-25,4717693.18600636,4135207.8826734843,5262735.674764036
2025-03-26,4842552.949198012,4262246.189040708,5416775.8065710915
2025-03-27,4760504.273711087,4193882.429106038,5266602.01169257
2025-03-28,4707065.773906361,4144234.876325356,5266106.643590538
2025-03-29,5227656.189957963,4623488.405734872,5795665.517009147
2025-03-30,5425031.782148745,4864074.466672628,5996443.481919049
2025-03-31,4681330.617352193,4132654.61225053,5214207.708914166
2025-04-01,4607533.999500769,4042559.2066918616,5152906.298550691
2025-04-02,4702392.605939375,4119995.86569456,5318123.595650315
2025-04-03,4593495.37070697,3940489.3697034214,5224676.858336617
2025-04-04,4516907.389610026,3914318.358073623,5098598.194326766
2025-04-05,5018498.394826497,4454916.250478045,5603584.479245936
2025-04-06,5201371.088164662,4657553.809798569,5774454.887894684
2025-04-07,4447899.002263879,3874914.328414783,5045296.834945608
2025-04-08,4369184.253973466,3786708.568900715,4956314.45067535
2025-04-09,4463982.795114532,3909489.3030244377,5087919.465375729
2025-04-10,4359775.175070724,3758634.1032996033,4871387.390658074
2025-04-11,4292408.996368874,3746008.6647335207,4841506.570091883
2025-04-12,4807434.452982906,4215799.034463535,5362170.002091357
2025-04-13,5007542.0243910905,4479363.959996626,5570979.823391646
2025-04-14,4274611.725539657,3763548.8073211596,4895201.792322365
2025-04-15,4219183.963979509,3678274.2735570967,4788329.503551568
2025-04-16,4339399.260573553,3798203.5222971854,4903282.832662519
2025-04-17,4262084.473219062,3699143.8922377545,4809168.3131882455
2025-04-18,4222411.31346288,3628408.4011552,4805609.980191157
2025-04-19,4765248.148681071,4180935.3138403837,5294804.364683906
2025-04-20,4992613.769050884,4392035.1635479955,5591465.627835513
2025-04-21,4285742.140382495,3721724.3331197076,4850070.848291902
2025-04-22,4254567.8368197065,3705270.628074001,4873113.024029876
2025-04-23,4396679.084906551,3829250.8636500523,4977998.524296543
2025-04-24,4338415.770876996,3780850.0389205455,4911129.832513553
2025-04-25,4314537.959043242,3709995.5004878156,4902774.923800715
2025-04-26,4869585.721092886,4286147.229335858,5448739.440938861
2025-04-27,5105338.815718725,4554432.6365732355,5652092.106883205
2025-04-28,4402885.154696057,3859216.455100357,4999224.475731671
2025-04-29,4372107.720309252,3832689.941185889,4972946.894072546
2025-04-30,4510636.890113724,3960060.163813009,5134173.977425606
2025-05-01,4444945.598870934,3898216.6834065705,5007481.486080395
2025-05-02,4410013.0109666325,3810529.792128847,5008055.069064866
2025-05-03,4950677.674493047,4409481.535477873,5484629.010677386
2025-05-04,5169088.9020816935,4649086.066276626,5732184.013210626
2025-05-05,4446765.557301173,3874045.1805608603,4989685.1173154265
2025-05-06,4394072.17515062,3818653.2983622355,4938745.357485958
2025-05-07,4509159.655017673,3949051.2938172235,5053392.599763601
2025-05-08,4419048.247891906,3791035.8620931073,5024047.464225418
2025-05-09,4359278.805410901,3763895.108002556,4925401.0110526355
2025-05-10,4875253.549465811,4305903.1112318365,5476266.7092482215
2025-05-11,5069675.386797512,4516449.547621175,5612173.557690979
2025-05-12,4324595.203216832,3742646.3368431735,4880832.837224662
2025-05-13,4250877.301229875,3649521.3432481536,4783475.908227682
